taxa	bafB	bafC	bafD	bafPseudo
08-12-12-13	0	0	0	0
08-19-02-10	0	0	0	0
08-19-02-30	1	0	0	0
08-19-02-46	0	0	0	0
08-19-02-61	0	0	0	0
08-31-08-91	0	2	2	0
08-36-03-25	1	0	0	1
09-7500806	0	1	0	0
10-01-02-27	1	0	0	0
117535A-1.1	0	0	0	1
12-7504462	0	1	1	0
12-7504652	0	0	0	0
12-7505054	0	2	0	0
12-7505220	1	1	0	0
12-7505446	0	1	0	0
1F1SW_F4	0	0	0	2
84-NIH	0	0	0	2
A1159	0	0	0	0
A1159-T0-2	0	0	0	0
A1163	1	3	1	1
AF100-10A	0	0	0	0
AF100-10B	0	0	0	0
AF100-10C	0	0	0	0
AF100-10_5	0	0	0	2
AF100-11A	1	0	0	2
AF100-11B	1	0	0	1
AF100-11C	1	0	0	1
AF100-11_3	0	0	0	2
AF100-12_10	0	2	1	0
AF100-12_13	0	0	0	0
AF100-12_17	0	0	0	1
AF100-12_18	0	2	1	0
AF100-12_2	0	1	0	0
AF100-12_21	0	0	0	1
AF100-12_23	0	0	0	2
AF100-12_24	0	0	0	0
AF100-12_25	0	0	0	2
AF100-12_26	0	0	0	0
AF100-12_27	0	0	0	1
AF100-12_2W	0	2	1	0
AF100-12_3	0	0	0	0
AF100-12_32	0	0	0	0
AF100-12_35	0	2	1	0
AF100-12_37	0	0	0	2
AF100-12_38	0	0	0	0
AF100-12_39	0	0	0	0
AF100-12_3G	0	0	0	2
AF100-12_4	0	0	0	0
AF100-12_40	0	0	0	2
AF100-12_43	0	0	0	2
AF100-12_5	0	1	1	1
AF100-12_7	0	0	0	0
AF100-12_7G	1	2	1	1
AF100-12_8	0	0	0	1
AF100-12_9	0	0	0	2
AF106-6_2	0	1	0	0
AF106-6_3	0	0	0	0
AF106-6_5	0	0	0	1
AF106-6_9	0	0	0	0
AF210	1	0	0	0
AF293	0	1	1	1
AF293-VKBR1	0	1	1	1
AF293-VKBR3	0	1	1	1
AF293-VKWH2	0	1	1	1
AF300	1	0	0	2
AF41	0	0	0	1
AF72	0	0	0	1
AF90	0	0	0	0
AFIS1435_CDC_6	0	0	1	2
AFIS_13708_CDC-14	0	0	0	1
AFIS_2101_CDC-1	0	0	0	2
AFIS_2302_CDC-18	0	0	0	0
AFIS_23107_CDC-12	0	0	1	0
AFUG_031815-1869	0	0	0	2
AFUG_082015-1200	0	0	0	2
AFUG_100413-0667	0	0	0	2
AP65	1	0	0	0
ATCC46645	1	1	1	0
ATCC_204305	0	0	0	0
ATCC_46645	1	1	1	0
AZTEC_10_245	0	0	0	2
AZTEC_11_1066	1	0	0	0
AZTEC_12_128	0	0	0	0
AZTEC_13_751	0	0	0	0
AZTEC_14_484	0	0	0	2
AZTEC_15_181	0	0	0	2
AZTEC_16_237	0	0	0	0
AZTEC_17_234	0	0	0	0
AZTEC_18_233	0	0	0	2
AZTEC_19_231	0	1	0	0
AZTEC_1_235	0	1	1	0
AZTEC_20_243	2	0	0	0
AZTEC_2_251	0	0	0	1
AZTEC_3_226	0	0	0	2
AZTEC_4_250	0	0	0	2
AZTEC_5_223	0	0	0	1
AZTEC_6_232	0	0	0	0
AZTEC_7_225	0	0	0	0
AZTEC_8_224	0	0	1	1
AZTEC_9_222	0	0	0	2
Af-M1509-D	0	0	0	1
Af10	0	0	1	1
Af293	0	1	1	1
Af65	1	2	1	0
Afu_1042_09	1	0	0	0
Afu_124_E11	1	0	0	0
